Factor_Strategy_RGX,Constraint_Type,Tatiana_Factor_Strategy,Tatiana_Category,
(?:^|\W)inability,Human Capacity,Farming Experience,Individual AC,
(?:^|\W)income,Economic&Financial,Income,Individual AC,
(?:^|\W)inequalit[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)inherit[a-z]*(?:$|\W),Economic&Financial,Owner,Individual AC,
(?:^|\W)innovator(?:$|\W),Human Capacity,Farming Experience,Individual AC,
(?:^|\W)invest[a-z]*,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)law(s|)(?:$|\W),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
(?:^|\W)loan(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)male(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)man(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)market[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)men(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)money,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)mother(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)mother(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)motivation(s|),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)municipal[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
(?:^|\W)muslim[a-z]*,Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)neighbo(u|)r,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
(?:^|\W)old[a-z]*(?:$|\W),Human Capacity,Age,Individual AC,
(?:^|\W)own[a-z]*,Economic&Financial,Owner,Individual AC,
(?:^|\W)payback,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)peer(?:$|\W),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
(?:^|\W)perception(s|),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)povert[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)practice(s|)(?:$|\W),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
(?:^|\W)production(s|),Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)productivit[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)profit[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)program[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
(?:^|\W)race(?:$|\W),Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)refund[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
(?:^|\W)risk(s|),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)school(s|),Human Capacity,Education,Individual AC,
(?:^|\W)shock(s|),Tcca-Specific ,TCCA-specific ,TCCA-specific ,
(?:^|\W)skill(s|)(?:$|\W),Human Capacity,Farming Experience,Individual AC,
(?:^|\W)subsid[a-z]*,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)technolog[a-z]*,Technology&Infrastructure,Access To Technology,Technology,
(?:^|\W)television,Technology&Infrastructure,Access To Technology,Technology,
(?:^|\W)tradition[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
(?:^|\W)training(s|),Information&Awareness,Access To Information,Knowledge and Information,
(?:^|\W)trust(?:$|\W),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)wealth[a-z]*,Economic&Financial,Income,Individual AC,
(?:^|\W)woman(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)women(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)worr[a-z]*,Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)young(?:$|\W),Human Capacity,Age,Individual AC,
[a-z]*(\s|-|)income,Economic&Financial,Income,Individual AC,
^attitude(s|)$,Psychological,Psychological Drivers,Psychological factors,
^circumstance(s|)$,Social&Cultural,Local Context,Individual AC,
^experience(s|)$,Human Capacity,Farming Experience,Individual AC,
^family$,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
^government[a-z]*$,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
^information$,Information&Awareness,Access To Information,Knowledge and Information,
^knowledge$,Information&Awareness,Access To Information,Knowledge and Information,
^literacy$,Human Capacity,Education,Individual AC,
^precipitation(s|)$,Technology&Infrastructure,Access To Irrigation,Individual AC,
"absence [[a-z]*\s{0,1}]{0,1}infrastructure(s|)",Technology&Infrastructure,Farm Characteristics,Individual AC,
"acces[a-z]* [[a-z]*\s{0,1}]{0,1}credit(s|)",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"acces[a-z]* [[a-z]*\s{0,1}]{0,1}information",Information&Awareness,Access To Information,Knowledge and Information,
"acces[a-z]* [[a-z]*\s{0,1}]{0,1}market",Economic&Financial,Access To Market Input Output,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1}financ[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1}infrastructure(s|)",Technology&Infrastructure,Access To Infrastructure,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1}irrigation",Technology&Infrastructure,Access To Irrigation,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1}resource[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"access[a-z]* [[a-z]*\s{0,1}]{0,1}technolog[a-z]*",Technology&Infrastructure,Access To Technology,Technology,
access[a-z]* improv[a-z]* productivity,Economic&Financial,Economic Factors,Individual AC,
ad(a|o)pt[a-z]* capacit[a-z]*,Human Capacity,Adaptive Capacity,Individual AC,
ad(a|o)pt[a-z]* cost[a-z]*,Economic&Financial,Economic Factors,Individual AC,
ad(a|o)pt[a-z]* polic[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"agricult[a-z]* [[a-z]*\s{0,1}]{0,1}income[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"allocati[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
alternative water(\s|-|)source(s|),Technology&Infrastructure,Access To Irrigation,Individual AC,
"artic ([a-z\s]*)^{0,1}ice[a-z]* los[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
asset[a-z]* damag[a-z]*,Hazard,Damage Experience,Hazard Experience,
"availab[a-z]* [[a-z]*\s{0,1}]{0,1}water",Technology&Infrastructure,Access To Irrigation,Individual AC,
availab[a-z]* summer season,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
behavio(u|)ral control(s|),Social&Cultural,Local Context,Individual AC,
belonging(s|),Economic&Financial,Assets,Individual AC,
build[a-z]* damag[a-z]*,Hazard,Damage Experience,Hazard Experience,
build[a-z]* vulnerab[a-z]*,Hazard,Damage Experience,Hazard Experience,
capacity building,Human Capacity,Farming Experience,Individual AC,
capital(s|),Economic&Financial,Assets,Individual AC,
cellular phone,Information&Awareness,Access To Information,Knowledge and Information,
"change [[a-z]*\s{0,1}]{0,1}biophysical environment",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"change[a-z]* [[a-z]*\s{0,1}]{0,1}regime ",Tcca-Specific ,TCCA-specific ,TCCA-specific ,
christian[a-z]*,Human Capacity,Demographic Factors,Individual AC,
civil societ[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}concern[a-z]*",Psychological,Psychological Barriers,Psychological factors,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}forecast[a-z]*",Information&Awareness,Access To Information,Knowledge and Information,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}hazard(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}inform[a-z]*",Information&Awareness,Access To Information,Knowledge and Information,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}knowledge",Human Capacity,Farming Experience,Individual AC,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}risk",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}service[a-z]*",Information&Awareness,Access To Information,Knowledge and Information,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}stress[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}variability",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"climat[a-z]* [[a-z]*\s{0,1}]{0,1}vulnera[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
coastal flood[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
coastal polic[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
cognitive dissonance,Psychological,Psychological Barriers,Psychological factors,
cold(-|\s|)spell(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"collaps[a-z]* [[a-z]*\s{0,1}]{0,1}system(s|)",Hazard,Damage Experience,Hazard Experience,
collective action(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
colon[a-z]* identi[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
coloni(s|z)[a-z]*,Human Capacity,Demographic Factors,Individual AC,
colonialism,Human Capacity,Demographic Factors,Individual AC,
common[a-z]* unders[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
communication network(s|),Technology&Infrastructure,Access To Technology,Technology,
community involvement,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
company size,Economic&Financial,Farm Size,Individual AC,
"compensation [[a-z]*\s{0,1}]{0,1}loss[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"concern[a-z]* [[a-z]*\s{0,1}]{0,1}climat[a-z]*",Psychological,Psychological Barriers,Psychological factors,
"concern[a-z]* [[a-z]*\s{0,1}]{0,1}risk",Psychological,Psychological Drivers,Psychological factors,
"conflict[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
"control[a-z]* [[a-z]*\s{0,1}]{0,1}behavi[a-z]*",Psychological,Psychological Barriers,Psychological factors,
"cost[a-z]* [[a-z]*\s{0,1}]{0,1}ad(a|o)pt[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"cost[a-z]* [[a-z]*\s{0,1}]{0,1}crop[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"cost[a-z]* [[a-z]*\s{0,1}]{0,1}management[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"cost[a-z]* [[a-z]*\s{0,1}]{0,1}prod[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"cost[a-z]* [[a-z]*\s{0,1}]{0,1}travel[a-z]*",Economic&Financial,Access To Market Input Output,Individual AC,
cousin(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
crop failure(s|),Hazard,Damage Experience,Hazard Experience,
"crop[a-z]* [[a-z]*\s{0,1}]{0,1}production[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"crop[a-z]* [[a-z]*\s{0,1}]{0,1}productivit[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"damag[a-z]* [[a-z]*\s{0,1}]{0,1}propert[a-z]*",Hazard,Damage Experience,Hazard Experience,
damag[a-z]* curv[a-z]*,Hazard,Damage Experience,Hazard Experience,
damag[a-z]* experienc[a-z]*,Hazard,Damage Experience,Hazard Experience,
de(\s|-|)forestation,Hazard,Damage Experience,Hazard Experience,
"death [[a-z]*\s{0,1}]{0,1}animal[a-z]*",Hazard,Non-Climate Related Hazard,Hazard Experience,
"death [[a-z]*\s{0,1}]{0,1}plant[a-z]*",Hazard,Non-Climate Related Hazard,Hazard Experience,
"degree [[a-z]*\s{0,1}]{0,1}agency",Psychological,Psychological Drivers,Psychological factors,
demograph[a-z],Human Capacity,Demographic Factors,Individual AC,
depression,Psychological,Psychological Barriers,Psychological factors,
design polic[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"develop[a-z]* [[a-z]*\s{0,1}]{0,1}countr[a-z]*",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"develop[a-z]* [[a-z]*\s{0,1}]{0,1}knowledge",Human Capacity,Farming Experience,Individual AC,
"dictribut[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
difficult hydrology,Technology&Infrastructure,Access To Irrigation,Individual AC,
"disconnect[a-z]* [[a-z]*\s{0,1}]{0,1} communit[a-z]*",Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
disease(s|),Hazard,Non-Climate Related Hazard,Hazard Experience,
"dissemination [[a-z]*\s{0,1}]{0,1}drought[a-z]*",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"distance [[a-z]*\s{0,1}]{0,1}farm[a-z]*",Economic&Financial,Access To Market Input Output,Individual AC,
"distance [[a-z]*\s{0,1}]{0,1}market[a-z]*",Economic&Financial,Access To Market Input Output,Individual AC,
"distribut[a-z]* [[a-z]*\s{0,1}]{0,1}irrigation",Technology&Infrastructure,Access To Irrigation,Individual AC,
"distributi[a-z]* [[a-z]*\s{0,1}]{0,1}effect[a-z]*",Economic&Financial,Economic Factors,Individual AC,
drought(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
dry(-|\s|)spell(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"econom[a-z]* [[a-z]*\s{0,1}]{0,1}dimension[a-z]*",Economic&Financial,Economic Factors,Individual AC,
econom[a-z]*(|-)[a-z]*,Economic&Financial,Economic Factors,Individual AC,
economic challenge(s|),Economic&Financial,Economic Factors,Individual AC,
educated,Human Capacity,Education,Individual AC,
education,Human Capacity,Education,Individual AC,
emergency fund[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
employment[a-z]*,Economic&Financial,Economic Factors,Individual AC,
energy infrastructure(s|),Technology&Infrastructure,Access To Infrastructure,Individual AC,
environmental group(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
environmental hazard(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
equipment(s|),Technology&Infrastructure,Access To Technology,Technology,
establishment group(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
ethnicit[a-z]*,Human Capacity,Demographic Factors,Individual AC,
"expensive[a-z]* [[a-z]*\s{0,1}]{0,1}ad(a|o)pt[a-z]*",Economic&Financial,Economic Factors,Individual AC,
experimental knowledge,Human Capacity,Farming Experience,Individual AC,
extension contact,Information&Awareness,Access To Information,Knowledge and Information,
extension officer(s|),Information&Awareness,Access To Information,Knowledge and Information,
extension provider(s|),Information&Awareness,Access To Information,Knowledge and Information,
extension service(s|),Information&Awareness,Access To Information,Knowledge and Information,
extension worker(s|),Information&Awareness,Access To Information,Knowledge and Information,
external knowledge,Information&Awareness,Access To Information,Knowledge and Information,
"extreme [[a-z]*\s{0,1}]{0,1}cold(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"extreme [[a-z]*\s{0,1}]{0,1}event(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"extreme [[a-z]*\s{0,1}]{0,1}heat",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"extreme [[a-z]*\s{0,1}]{0,1}precipitation(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"extreme [[a-z]*\s{0,1}]{0,1}temperature(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"famil[a-z]* [[a-z]*\s{0,1}]{0,1}income[a-z]*",Economic&Financial,Income,Individual AC,
"family [[a-z]*\s{0,1}]{0,1}health",Human Capacity,Health,Individual AC,
"family [[a-z]*\s{0,1}]{0,1}structure",Human Capacity,Demographic Factors,Individual AC,
farm characteristic[a-z]*,Technology&Infrastructure,Access To Infrastructure,Individual AC,
farm infrastructure(s|),Technology&Infrastructure,Access To Infrastructure,Individual AC,
farm size,Economic&Financial,Farm Size,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}abilit[a-z]*",Human Capacity,Farming Experience,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}credit[a-z]*",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}distance(s|)",Economic&Financial,Access To Market Input Output,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}experience(s|)",Human Capacity,Farming Experience,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}income[a-z]*",Economic&Financial,Income,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}infrastructure(s|)",Technology&Infrastructure,Access To Infrastructure,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}knowledge",Human Capacity,Farming Experience,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}skill[a-z]*",Human Capacity,Farming Experience,Individual AC,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}technolog[a-z]*",Technology&Infrastructure,Access To Technology,Technology,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}trust",Psychological,Psychological Drivers,Psychological factors,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}uncertain[a-z]*",Psychological,Psychological Barriers,Psychological factors,
"farm[a-z]* [[a-z]*\s{0,1}]{0,1}underst[a-z]*",Human Capacity,Farming Experience,Individual AC,
farm[a-z]* land,Economic&Financial,Farm Size,Individual AC,
farm[a-z]* plot,Economic&Financial,Farm Size,Individual AC,
farmer technical [a-z]*,Human Capacity,Farming Experience,Individual AC,
"feel[a-z]* [[a-z]*\s{0,1}]{0,1}guilt[a-z]*",Psychological,Psychological Barriers,Psychological factors,
"financ[a-z]* [[a-z]*\s{0,1}]{0,1}access[a-z]*",Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
financial,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
flood[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
food erosion,Hazard,Damage Experience,Hazard Experience,
"food[a-z]* [[a-z]*\s{0,1}]{0,1}program[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"food[a-z]* [[a-z]*\s{0,1}]{0,1}security",Economic&Financial,Economic Factors,Individual AC,
"food[a-z]* [[a-z]*\s{0,1}]{0,1}storage[a-z]*",Economic&Financial,Economic Factors,Individual AC,
friend[a-z]* network,Information&Awareness,Network,Institutional AC - Informal Institutions,
fungi pest,Hazard,Non-Climate Related Hazard,Hazard Experience,
gender[a-z]* differ[a-z]*,Human Capacity,Gender,Individual AC,
gender[a-z]* norm(|s),Human Capacity,Gender,Individual AC,
gender[a-z]* role(|s),Human Capacity,Gender,Individual AC,
glacial meltwater,Technology&Infrastructure,Access To Irrigation,Individual AC,
goods,Economic&Financial,Assets,Individual AC,
govern[a-z]* mechanism(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
government[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"government[a-z]* [[a-z]*\s{0,1}]{0,1}aid[a-z]*",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"government[a-z]* [[a-z]*\s{0,1}]{0,1}bond",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"government[a-z]* [[a-z]*\s{0,1}]{0,1}loan(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"government[a-z]* [[a-z]*\s{0,1}]{0,1}program(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"government[a-z]* [[a-z]*\s{0,1}]{0,1}support(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"group [[a-z]*\s{0,1}]{0,1}learn[a-z]*",Information&Awareness,Access To Information,Knowledge and Information,
"guid[a-z]* [[a-z]*\s{0,1}]{0,1}support[a-z]*",Information&Awareness,Access To Information,Knowledge and Information,
guideline,Information&Awareness,Access To Information,Knowledge and Information,
harvest loss,Hazard,Damage Experience,Hazard Experience,
hazard experience(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
heat(|-|\s)wave(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
heavy rain[a-z]*,Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
high(-|\s|)level stakeholder(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
hindu[a-z]*,Human Capacity,Demographic Factors,Individual AC,
historical knowledge,Information&Awareness,Access To Information,Knowledge and Information,
history,Social&Cultural,Local Context,Individual AC,
hous[a-z]* damag[a-z]*,Hazard,Damage Experience,Hazard Experience,
household community,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
household size,Human Capacity,Demographic Factors,Individual AC,
"household[a-z]* [[a-z]*\s{0,1}]{0,1}asset[a-z]*",Economic&Financial,Farm Characteristics,Individual AC,
"household[a-z]* [[a-z]*\s{0,1}]{0,1}capital[a-z]*",Economic&Financial,Economic Factors,Individual AC,
"household[a-z]* [[a-z]*\s{0,1}]{0,1}income[a-z]*",Economic&Financial,Income,Individual AC,
human(|-|\s)capital,Human Capacity,Farming Experience,Individual AC,
hurricane(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
hurricane(s|),Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
immense difficult[a-z]*,Psychological,Psychological Drivers,Psychological factors,
inclusive atmosphere(s|),Social&Cultural,Local Context,Individual AC,
"income[a-z]* [[a-z]*\s{0,1}]{0,1}agricultur[a-z]*",Economic&Financial,Income,Individual AC,
"income[a-z]* [[a-z]*\s{0,1}]{0,1}level(s|)",Economic&Financial,Income,Individual AC,
"income[a-z]* [[a-z]*\s{0,1}]{0,1}source[a-z]*",Economic&Financial,Income,Individual AC,
"increas[a-s]* [[a-z]*\s{0,1}]{0,1}precipitation(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"increas[a-z]* [[a-z]*\s{0,1}]{0,1}evaporation(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
"increas[a-z]* [[a-z]*\s{0,1}]{0,1}rate(s|)",Hazard,Climate-Change Related Hazard Experience,Hazard Experience,
indigen[a-z]* group[a-z]*,Human Capacity,Demographic Factors,Individual AC,
indigen[a-z]* people,Human Capacity,Demographic Factors,Individual AC,
indigen[a-z]* person,Human Capacity,Demographic Factors,Individual AC,
indigeno(u|)s practice(s|),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
individual farmer,Economic&Financial,Farm Size,Individual AC,
"informal[a-z]* [[a-z]*\s{0,1}]{0,1}water",Technology&Infrastructure,Access To Irrigation,Individual AC,
infrast[a-z]* damag[a-z]*,Hazard,Damage Experience,Hazard Experience,
infrastructure facilit[a-z]*,Technology&Infrastructure,Access To Infrastructure,Individual AC,
innovation,Technology&Infrastructure,Access To Technology,Technology,
"insecur[a-z]* [[a-z]*\s{0,1}]{0,1} water",Technology&Infrastructure,Access To Irrigation,Individual AC,
"institution[a-z]* [[a-z]*\s{0,1}]{0,1}factor",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* barrier(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* connection(s|),Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
institution[a-z]* constrain[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* intervent[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* norm(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
institution[a-z]* role(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
insufficient fund[a-z]*,Economic&Financial,Economic Factors,Individual AC,
"intensification [[a-z]*\s{0,1}]{0,1}production",Hazard,Damage Experience,Hazard Experience,
interaction communit[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
interest rate(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
"international [[a-z]*\s{0,1}]{0,1}organization(s|)",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
"international [[a-z]*\s{0,1}]{0,1}partner",Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
international aid[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions,
internet,Technology&Infrastructure,Access To Technology,Technology,
investment[a-z]*,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
irrigat[a-z]*,Technology&Infrastructure,Access To Irrigation,Individual AC,
kinship,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
knowledge construction,Human Capacity,Farming Experience,Individual AC,
knowledge develop[a-z]*,Human Capacity,Farming Experience,Individual AC,
